LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID5545722,5545722,484,0.6581296920776367,232.8187431372542,730.4972578589106,0.0,2492.0,2492,17.5,1,,103.33830382106244,78.0,0.0,255.0,110882.0,80.73762205690672,0.09375303600774984,0.21942264164210654
ID5547562,5547562,484,0.7030742764472961,234.40965221529217,729.4421335036263,0.0,2493.0,2493,17.5,1,,102.11276794035415,71.0,0.0,255.0,109567.0,86.0467123824473,0.0865617315438314,0.18908073970675485
ID5546957,5546957,484,0.6043463945388794,237.24842570151625,729.6402717841686,0.0,2494.0,2494,17.5,1,,102.46598322460392,72.0,0.0,255.0,109946.0,83.33030285253957,0.07976487941324713,0.1816725293457966
ID5548763,5548763,484,0.5727918148040771,244.0178351034448,726.8769632675796,0.0,2495.0,2495,17.5,1,,98.52935694315005,65.0,0.0,255.0,105722.0,82.99983886232518,0.06448793664268886,0.14383220291938265
ID5548164,5548164,484,0.589630126953125,251.16818052862257,722.8947388574132,0.0,2496.0,2496,17.5,1,,107.95899347623485,77.0,0.0,255.0,115840.0,86.42091650424545,0.12262196240962497,0.2729007207682179
ID5549369,5549369,484,0.6330356597900391,249.62681982542037,719.4317681834742,0.0,2497.0,2497,17.5,1,,107.38397017707362,72.0,0.0,255.0,115223.0,87.07959669587103,0.09880602690760407,0.2217764598275526
ID5552429,5552429,484,0.6270290613174438,249.25320695655006,721.8711866076599,0.0,2498.0,2498,17.5,1,,106.93010251630942,73.0,0.0,255.0,114736.0,87.92970053770163,0.10774642429019246,0.23656848811772624
ID5549986,5549986,484,0.6801664233207703,249.981967336418,724.5961728930525,0.0,2499.0,2499,17.5,1,,106.85368126747437,79.0,0.0,255.0,114654.0,89.58565498069395,0.12852039807243398,0.2716712367979499
ID5550585,5550585,484,0.6790232062339783,246.9107658128201,723.7062144921313,0.0,2500.0,2500,17.5,1,,102.40167753960857,68.0,0.0,255.0,109877.0,88.79370837191651,0.09689649487356726,0.20374984698249715
ID5551927,5551927,484,0.6657591462135315,245.12931633401848,722.4152825482473,0.0,2501.0,2501,17.5,1,,102.8219944082013,70.0,0.0,255.0,110328.0,87.76015164804187,0.1011692944274314,0.21528475765859084
ID5553049,5553049,484,0.6773329973220825,246.71557706517996,719.1619979204752,0.0,2502.0,2502,17.5,1,,110.06989748369058,79.0,0.0,255.0,118105.0,92.77434989178845,0.16096210889035323,0.3289851127932983
ID5551202,5551202,484,0.6505247354507446,246.36652255587066,717.5931493021778,0.0,2503.0,2503,17.5,1,,107.0708294501398,68.0,0.0,255.0,114887.0,87.5640736457282,0.12898486958754904,0.27939964657307914
ID5553655,5553655,484,0.6069630980491638,247.34941342893708,724.5434411521093,0.0,2504.0,2504,17.5,1,,99.13979496738118,66.0,0.0,255.0,106377.0,82.71758412042247,0.05638841830117731,0.12795181533391298
ID5554870,5554870,484,0.6623779535293579,250.308098860815,727.9956932771275,0.0,2505.0,2505,17.5,1,,104.58620689655173,76.0,0.0,255.0,112221.0,79.34040276596384,0.10589277933026615,0.25244299966059136
ID5554248,5554248,484,0.6224391460418701,252.96142847857112,724.549406092322,0.0,2506.0,2506,17.5,1,,110.14352283317801,84.0,0.0,255.0,118184.0,89.71673861633171,0.13346678629206968,0.2891211652187536
ID5556104,5556104,484,0.6537160873413086,250.37453614529218,724.2612890397094,0.0,2507.0,2507,17.5,1,,109.60484622553588,80.0,0.0,255.0,117606.0,87.14885005577757,0.14202540542581332,0.3128155720599577
ID5555489,5555489,484,0.6160286068916321,247.33530831502907,724.3169477477944,0.0,2508.0,2508,17.5,1,,106.9534016775396,75.0,0.0,255.0,114761.0,88.96820280388307,0.11703688304570486,0.25190977138681614
ID5556716,5556716,484,0.6261281967163086,248.35964759260472,727.6314162842444,0.0,2509.0,2509,17.5,1,,103.21248835041939,75.0,0.0,255.0,110747.0,85.77783670196379,0.10288795574527525,0.224502044019644
ID5557325,5557325,484,0.6688172221183777,247.84669490441274,728.4116861379232,0.0,2510.0,2510,17.5,1,,101.62814538676608,72.0,0.0,255.0,109047.0,83.72788541848217,0.0839082429981844,0.18792561535285382
ID5557923,5557923,484,0.6457975506782532,250.14172273523363,725.8431565540521,0.0,2511.0,2511,17.5,1,,105.3345759552656,73.0,0.0,255.0,113024.0,89.49369864017518,0.1329171140590816,0.2761793833006745
ID5558550,5558550,484,0.6457547545433044,248.6616749718007,723.1559840552543,0.0,2512.0,2512,17.5,1,,113.72227399813606,82.0,0.0,255.0,122024.0,91.7079809311375,0.15319828721059234,0.32947185424490155
ID5559743,5559743,484,0.6483104228973389,247.20450245823693,723.7877878095509,0.0,2513.0,2513,17.5,1,,113.84436160298229,87.0,0.0,255.0,122155.0,93.36194317385169,0.14063983725846557,0.3006986368102731
ID5559138,5559138,484,0.6918596625328064,245.1953772783144,722.1496439191408,0.0,2514.0,2514,17.5,1,,101.28984156570364,58.0,0.0,255.0,108684.0,90.02979844213176,0.09428941761041082,0.19388328236422386
ID5560344,5560344,484,0.7283200621604919,243.04975686463305,723.9827796529248,0.0,2515.0,2515,17.5,1,,98.87511649580615,66.0,0.0,255.0,106093.0,88.48443695696896,0.08961519569116679,0.18380554899036086
ID5561550,5561550,484,0.7051476836204529,247.75573720275827,724.7710030907706,0.0,2516.0,2516,17.5,1,,100.99534016775397,69.0,0.0,255.0,108368.0,87.15214959918222,0.08938100461054665,0.19015977810563384
ID5562759,5562759,484,0.7360600233078003,251.98358673441868,724.3567390699931,0.0,2517.0,2517,17.5,1,,99.41845293569432,64.0,0.0,255.0,106676.0,89.70027368670618,0.10771616489631877,0.2155537671932554
ID5562162,5562162,484,0.7142876386642456,252.51764515097062,723.2193353824103,0.0,2518.0,2518,17.5,1,,104.16495806150978,74.0,0.0,255.0,111769.0,86.6027870575822,0.09794595383067421,0.2145978208519719
ID5560931,5560931,484,0.7520529627799988,253.83603286469335,719.7865077391334,0.0,2519.0,2519,17.5,1,,99.36533084808947,68.0,0.0,255.0,106619.0,85.28145232324299,0.09850685777234237,0.20896520836690172
